Timestamp;Annotation ID;Width;Color (r,g,b);Point Index;Position (x,y,z);Position` (x,y,z)
637326626410651348;28;0.001999997;0,187,255;0;-0.06061581,-0.302904,0.6896978;-0.06061581,-0.302904,0.6896978
637326626411077898;28;0.001999997;0,187,255;1;-0.06117395,-0.302428,0.6899225;-0.06117395,-0.302428,0.6899225
637326626411499503;28;0.001999997;0,187,255;2;-0.06394695,-0.3059337,0.6903898;-0.06394695,-0.3059337,0.6903898
637326626411499503;28;0.001999997;0,187,255;3;-0.06140929,-0.3021939,0.6899289;-0.06140929,-0.3021939,0.6899289
637326626411940939;28;0.001999997;0,187,255;4;-0.06387402,-0.3051727,0.6902077;-0.06387402,-0.3051727,0.6902077
637326626411945897;28;0.001999997;0,187,255;5;-0.06079639,-0.3016475,0.6898183;-0.06079639,-0.3016475,0.6898183
637326626412372473;28;0.001999997;0,187,255;6;-0.06093665,-0.3014652,0.6898162;-0.06093665,-0.3014652,0.6898162
637326626412372473;28;0.001999997;0,187,255;7;-0.06357477,-0.3051369,0.6900654;-0.06357477,-0.3051369,0.6900654
637326626412784146;28;0.001999997;0,187,255;8;-0.06355093,-0.3051111,0.6900663;-0.06355093,-0.3051111,0.6900663
637326626412784146;28;0.001999997;0,187,255;9;-0.06360245,-0.3048759,0.6901498;-0.06360245,-0.3048759,0.6901498
637326626413334703;28;0.001999997;0,187,255;10;-0.06340853,-0.3052541,0.6901815;-0.06340853,-0.3052541,0.6901815
637326626413334703;28;0.001999997;0,187,255;11;-0.06355904,-0.305109,0.6904922;-0.06355904,-0.305109,0.6904922
637326626413632304;28;0.001999997;0,187,255;12;-0.0636341,-0.3053256,0.690538;-0.0636341,-0.3053256,0.690538
637326626413632304;28;0.001999997;0,187,255;13;-0.06356955,-0.3058482,0.6906321;-0.06356955,-0.3058482,0.6906321
637326626414063818;28;0.001999997;0,187,255;14;-0.06150101,-0.302843,0.6902251;-0.06150101,-0.302843,0.6902251
637326626414063818;28;0.001999997;0,187,255;15;-0.06352086,-0.3064978,0.6904411;-0.06352086,-0.3064978,0.6904411
637326626414520149;28;0.001999997;0,187,255;16;-0.06364264,-0.306623,0.6905375;-0.06364264,-0.306623,0.6905375
637326626414520149;28;0.001999997;0,187,255;17;-0.06396767,-0.3074352,0.6905488;-0.06396767,-0.3074352,0.6905488
637326626415031028;28;0.001999997;0,187,255;18;-0.06067752,-0.3044372,0.6897635;-0.06067752,-0.3044372,0.6897635
637326626415031028;28;0.001999997;0,187,255;19;-0.06442377,-0.3089653,0.6899977;-0.06442377,-0.3089653,0.6899977
637326626415452625;28;0.001999997;0,187,255;20;-0.06217586,-0.3061141,0.6895198;-0.06217586,-0.3061141,0.6895198
637326626415452625;28;0.001999997;0,187,255;21;-0.0650373,-0.310324,0.6896704;-0.0650373,-0.310324,0.6896704
637326626416846392;28;0.001999997;0,187,255;22;-0.06539048,-0.3112873,0.6894785;-0.06539048,-0.3112873,0.6894785
637326626416846392;28;0.001999997;0,187,255;23;-0.06612191,-0.3124869,0.689447;-0.06612191,-0.3124869,0.689447
