Title,Description,Start(HMS),Start(sec),End(HMS),End(sec),Duration(sec),PrimaryTag,Tags
state-change,pen,00:04:29.553,269.553,00:04:29.553,269.553,0,,
annotation-start,,00:05:26.423,326.423,00:05:26.423,326.423,0,,
annotation-end,,00:05:29.248,329.248,00:05:29.248,329.248,0,,
annotation-start,,00:05:33.751,333.751,00:05:33.751,333.751,0,,
annotation-end,,00:05:35.333,335.333,00:05:35.333,335.333,0,,
annotation-start,,00:05:38.089,338.089,00:05:38.089,338.089,0,,
annotation-end,,00:05:39.952,339.952,00:05:39.952,339.952,0,,
erase-button,,00:05:47.656,347.656,00:05:47.656,347.656,0,,
state-change,pointer,00:06:50.462,410.462,00:06:50.462,410.462,0,,
state-change,pen,00:06:58.165,418.165,00:06:58.165,418.165,0,,
state-change,pointer,00:07:51.285,471.285,00:07:51.285,471.285,0,,
state-change,pen,00:08:16.690,496.69,00:08:16.690,496.69,0,,
state-change,pointer,00:10:02.876,602.876,00:10:02.876,602.876,0,,
state-change,pen,00:10:43.757,643.757,00:10:43.757,643.757,0,,
state-change,pointer,00:10:44.389,644.389,00:10:44.389,644.389,0,,
state-change,pen,00:12:43.820,763.82,00:12:43.820,763.82,0,,
state-change,pointer,00:12:45.753,765.753,00:12:45.753,765.753,0,,
select,,00:12:52.540,772.54,00:12:52.540,772.54,0,,
select,,00:13:08.844,788.844,00:13:08.844,788.844,0,,
state-change,pen,00:13:10.875,790.875,00:13:10.875,790.875,0,,
annotation-start,,00:13:16.782,796.782,00:13:16.782,796.782,0,,
annotation-end,,00:13:19.626,799.626,00:13:19.626,799.626,0,,
erase-button,,00:13:25.091,805.091,00:13:25.091,805.091,0,,
annotation-start,,00:13:27.354,807.354,00:13:27.354,807.354,0,,
annotation-end,,00:13:28.179,808.179,00:13:28.179,808.179,0,,
annotation-start,,00:13:28.645,808.645,00:13:28.645,808.645,0,,
annotation-end,,00:13:29.002,809.002,00:13:29.002,809.002,0,,
annotation-start,,00:13:29.355,809.355,00:13:29.355,809.355,0,,
annotation-end,,00:13:29.581,809.581,00:13:29.581,809.581,0,,
erase-button,,00:13:39.172,819.172,00:13:39.172,819.172,0,,
annotation-start,,00:13:47.748,827.748,00:13:47.748,827.748,0,,
annotation-end,,00:13:51.056,831.056,00:13:51.056,831.056,0,,
erase-button,,00:14:00.218,840.218,00:14:00.218,840.218,0,,
annotation-start,,00:14:54.905,894.905,00:14:54.905,894.905,0,,
annotation-end,,00:14:55.948,895.948,00:14:55.948,895.948,0,,
erase-button,,00:15:05.611,905.611,00:15:05.611,905.611,0,,
annotation-start,,00:15:08.467,908.467,00:15:08.467,908.467,0,,
annotation-end,,00:15:10.568,910.568,00:15:10.568,910.568,0,,
annotation-start,,00:15:11.338,911.338,00:15:11.338,911.338,0,,
annotation-end,,00:15:12.208,912.208,00:15:12.208,912.208,0,,
annotation-break,,00:15:12.623,912.623,00:15:12.623,912.623,0,,
annotation-start,,00:15:37.640,937.64,00:15:37.640,937.64,0,,
annotation-end,,00:15:38.395,938.395,00:15:38.395,938.395,0,,
erase-button,,00:15:41.797,941.797,00:15:41.797,941.797,0,,
annotation-start,,00:15:56.009,956.009,00:15:56.009,956.009,0,,
annotation-end,,00:15:56.277,956.277,00:15:56.277,956.277,0,,
annotation-start,,00:15:57.143,957.143,00:15:57.143,957.143,0,,
annotation-end,,00:15:57.410,957.41,00:15:57.410,957.41,0,,
annotation-break,,00:15:58.208,958.208,00:15:58.208,958.208,0,,
state-change,pointer,00:16:00.011,960.011,00:16:00.011,960.011,0,,
select,,00:16:44.144,1004.144,00:16:44.144,1004.144,0,,
state-change,pen,00:16:52.283,1012.283,00:16:52.283,1012.283,0,,
state-change,pointer,00:17:11.807,1031.807,00:17:11.807,1031.807,0,,
state-change,pen,00:17:14.307,1034.307,00:17:14.307,1034.307,0,,
state-change,pointer,00:17:16.508,1036.508,00:17:16.508,1036.508,0,,
state-change,pen,00:17:26.623,1046.623,00:17:26.623,1046.623,0,,
annotation-start,,00:17:28.547,1048.547,00:17:28.547,1048.547,0,,
annotation-end,,00:17:28.776,1048.776,00:17:28.776,1048.776,0,,
annotation-break,,00:17:29.878,1049.878,00:17:29.878,1049.878,0,,
state-change,pointer,00:17:32.408,1052.408,00:17:32.408,1052.408,0,,
state-change,pen,00:18:34.510,1114.51,00:18:34.510,1114.51,0,,
annotation-start,,00:18:36.580,1116.58,00:18:36.580,1116.58,0,,
annotation-end,,00:18:37.890,1117.89,00:18:37.890,1117.89,0,,
annotation-start,,00:18:38.599,1118.599,00:18:38.599,1118.599,0,,
annotation-end,,00:18:39.335,1119.335,00:18:39.335,1119.335,0,,
erase-button,,00:18:41.800,1121.8,00:18:41.800,1121.8,0,,
annotation-start,,00:18:43.331,1123.331,00:18:43.331,1123.331,0,,
annotation-end,,00:18:44.307,1124.307,00:18:44.307,1124.307,0,,
annotation-start,,00:18:46.042,1126.042,00:18:46.042,1126.042,0,,
annotation-end,,00:18:46.750,1126.75,00:18:46.750,1126.75,0,,
erase-button,,00:18:51.768,1131.768,00:18:51.768,1131.768,0,,
state-change,pointer,00:20:08.325,1208.325,00:20:08.325,1208.325,0,,
select,,00:20:11.368,1211.368,00:20:11.368,1211.368,0,,
state-change,pen,00:21:37.761,1297.761,00:21:37.761,1297.761,0,,
state-change,pointer,00:28:51.528,1731.528,00:28:51.528,1731.528,0,,
state-change,pen,00:29:34.370,1774.37,00:29:34.370,1774.37,0,,
state-change,pointer,00:29:35.871,1775.871,00:29:35.871,1775.871,0,,
state-change,pen,00:29:41.558,1781.558,00:29:41.558,1781.558,0,,
state-change,pointer,00:29:42.756,1782.756,00:29:42.756,1782.756,0,,
select,,00:29:46.141,1786.141,00:29:46.141,1786.141,0,,
select,,00:29:55.072,1795.072,00:29:55.072,1795.072,0,,
state-change,pen,00:29:56.906,1796.906,00:29:56.906,1796.906,0,,
annotation-start,,00:30:27.123,1827.123,00:30:27.123,1827.123,0,,
annotation-end,,00:30:28.750,1828.75,00:30:28.750,1828.75,0,,
erase-button,,00:31:36.381,1896.381,00:31:36.381,1896.381,0,,
state-change,pointer,00:31:39.713,1899.713,00:31:39.713,1899.713,0,,
select,,00:31:45.686,1905.686,00:31:45.686,1905.686,0,,
