StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:04:29.553,00:04:29.553,state-change,,pen,state-change,Pen Event
00:05:26.423,00:05:26.423,annotation-start,,,annotation-start,Pen Event
00:05:29.248,00:05:29.248,annotation-end,,,annotation-end,Pen Event
00:05:33.751,00:05:33.751,annotation-start,,,annotation-start,Pen Event
00:05:35.333,00:05:35.333,annotation-end,,,annotation-end,Pen Event
00:05:38.089,00:05:38.089,annotation-start,,,annotation-start,Pen Event
00:05:39.952,00:05:39.952,annotation-end,,,annotation-end,Pen Event
00:05:47.656,00:05:47.656,erase-button,,,erase-button,Pen Event
00:06:50.462,00:06:50.462,state-change,,pointer,state-change,Pen Event
00:06:58.165,00:06:58.165,state-change,,pen,state-change,Pen Event
00:07:51.285,00:07:51.285,state-change,,pointer,state-change,Pen Event
00:08:16.690,00:08:16.690,state-change,,pen,state-change,Pen Event
00:10:02.876,00:10:02.876,state-change,,pointer,state-change,Pen Event
00:10:43.757,00:10:43.757,state-change,,pen,state-change,Pen Event
00:10:44.389,00:10:44.389,state-change,,pointer,state-change,Pen Event
00:12:43.820,00:12:43.820,state-change,,pen,state-change,Pen Event
00:12:45.753,00:12:45.753,state-change,,pointer,state-change,Pen Event
00:12:52.540,00:12:52.540,select,,,select,Pen Event
00:13:08.844,00:13:08.844,select,,,select,Pen Event
00:13:10.875,00:13:10.875,state-change,,pen,state-change,Pen Event
00:13:16.782,00:13:16.782,annotation-start,,,annotation-start,Pen Event
00:13:19.626,00:13:19.626,annotation-end,,,annotation-end,Pen Event
00:13:25.091,00:13:25.091,erase-button,,,erase-button,Pen Event
00:13:27.354,00:13:27.354,annotation-start,,,annotation-start,Pen Event
00:13:28.179,00:13:28.179,annotation-end,,,annotation-end,Pen Event
00:13:28.645,00:13:28.645,annotation-start,,,annotation-start,Pen Event
00:13:29.002,00:13:29.002,annotation-end,,,annotation-end,Pen Event
00:13:29.355,00:13:29.355,annotation-start,,,annotation-start,Pen Event
00:13:29.581,00:13:29.581,annotation-end,,,annotation-end,Pen Event
00:13:39.172,00:13:39.172,erase-button,,,erase-button,Pen Event
00:13:47.748,00:13:47.748,annotation-start,,,annotation-start,Pen Event
00:13:51.056,00:13:51.056,annotation-end,,,annotation-end,Pen Event
00:14:00.218,00:14:00.218,erase-button,,,erase-button,Pen Event
00:14:54.905,00:14:54.905,annotation-start,,,annotation-start,Pen Event
00:14:55.948,00:14:55.948,annotation-end,,,annotation-end,Pen Event
00:15:05.611,00:15:05.611,erase-button,,,erase-button,Pen Event
00:15:08.467,00:15:08.467,annotation-start,,,annotation-start,Pen Event
00:15:10.568,00:15:10.568,annotation-end,,,annotation-end,Pen Event
00:15:11.338,00:15:11.338,annotation-start,,,annotation-start,Pen Event
00:15:12.208,00:15:12.208,annotation-end,,,annotation-end,Pen Event
00:15:12.623,00:15:12.623,annotation-break,,,annotation-break,Pen Event
00:15:37.640,00:15:37.640,annotation-start,,,annotation-start,Pen Event
00:15:38.395,00:15:38.395,annotation-end,,,annotation-end,Pen Event
00:15:41.797,00:15:41.797,erase-button,,,erase-button,Pen Event
00:15:56.009,00:15:56.009,annotation-start,,,annotation-start,Pen Event
00:15:56.277,00:15:56.277,annotation-end,,,annotation-end,Pen Event
00:15:57.143,00:15:57.143,annotation-start,,,annotation-start,Pen Event
00:15:57.410,00:15:57.410,annotation-end,,,annotation-end,Pen Event
00:15:58.208,00:15:58.208,annotation-break,,,annotation-break,Pen Event
00:16:00.011,00:16:00.011,state-change,,pointer,state-change,Pen Event
00:16:44.144,00:16:44.144,select,,,select,Pen Event
00:16:52.283,00:16:52.283,state-change,,pen,state-change,Pen Event
00:17:11.807,00:17:11.807,state-change,,pointer,state-change,Pen Event
00:17:14.307,00:17:14.307,state-change,,pen,state-change,Pen Event
00:17:16.508,00:17:16.508,state-change,,pointer,state-change,Pen Event
00:17:26.623,00:17:26.623,state-change,,pen,state-change,Pen Event
00:17:28.547,00:17:28.547,annotation-start,,,annotation-start,Pen Event
00:17:28.776,00:17:28.776,annotation-end,,,annotation-end,Pen Event
00:17:29.878,00:17:29.878,annotation-break,,,annotation-break,Pen Event
00:17:32.408,00:17:32.408,state-change,,pointer,state-change,Pen Event
00:18:34.510,00:18:34.510,state-change,,pen,state-change,Pen Event
